car_id,brand,model,year,mileage_km,engine_l,fuel,transmission,price_usd,car_age
1,Toyota,Corolla,2018,72000,1.6,Petrol,Automatic,16500,8
2,Volkswagen,Golf,2017,91000,1.4,Petrol,Manual,14200,9
3,Ford,Focus,2019,54000,1.5,Diesel,Manual,15800,7
4,Skoda,Octavia,2020,43000,1.6,Diesel,Automatic,18900,6
5,Renault,Megane,2018,68000,1.5,Diesel,Manual,13600,8
6,Toyota,Camry,2017,85000,2.5,Petrol,Automatic,21800,9
7,Honda,Civic,2019,51000,1.5,Petrol,Automatic,19200,7
8,Hyundai,Elantra,2020,39000,2,Petrol,Automatic,17700,6
9,Kia,Ceed,2018,73000,1.6,Petrol,Manual,14900,8
10,BMW,320i,2016,102000,2,Petrol,Automatic,20500,10
11,Mercedes,C180,2017,97000,1.6,Petrol,Automatic,22400,9
12,Audi,A4,2018,82000,2,Diesel,Automatic,23100,8
13,Volkswagen,Passat,2019,65000,2,Diesel,Automatic,21300,7
14,Ford,Mondeo,2016,118000,2,Diesel,Manual,12900,10
15,Toyota,Auris,2017,89000,1.6,Petrol,Manual,13400,9
16,Skoda,Superb,2019,61000,2,Diesel,Automatic,21900,7
17,Renault,Clio,2020,37000,1.2,Petrol,Manual,11200,6
18,Hyundai,Tucson,2018,76000,2,Diesel,Automatic,19600,8
19,Kia,Sportage,2019,58000,2,Diesel,Automatic,20700,7
20,Honda,CR-V,2017,94000,2,Petrol,Automatic,21500,9
21,Toyota,RAV4,2020,45000,2,Petrol,Automatic,24900,6
22,Volkswagen,Tiguan,2018,71000,2,Diesel,Automatic,21800,8
23,Ford,Kuga,2019,62000,1.5,Diesel,Manual,17900,7
24,Skoda,Karoq,2020,34000,1.5,Petrol,Automatic,22400,6
25,Renault,Captur,2018,69000,1.3,Petrol,Manual,14500,8
26,BMW,118i,2019,47000,1.5,Petrol,Automatic,21100,7
27,Mercedes,A180,2020,36000,1.3,Petrol,Automatic,23600,6
28,Audi,A3,2019,52000,1.4,Petrol,Automatic,21800,7
29,Volkswagen,Polo,2018,64000,1,Petrol,Manual,12100,8
30,Toyota,Yaris,2019,48000,1.5,Petrol,Automatic,14600,7
31,Ford,Fiesta,2017,83000,1,Petrol,Manual,9800,9
32,Hyundai,i30,2019,57000,1.4,Petrol,Manual,13700,7
33,Kia,Rio,2018,66000,1.4,Petrol,Manual,11900,8
34,Skoda,Fabia,2020,29000,1,Petrol,Manual,12800,6
35,Renault,Clio,2019,55000,1,Petrol,Manual,10900,7
36,Honda,Jazz,2018,61000,1.3,Petrol,Automatic,12600,8
37,Toyota,Corolla,2018,72000,1.6,Petrol,Automatic,16500,8
38,Volkswagen,Golf,2017,91000,1.4,Petrol,Manual,14200,9
39,Ford,Focus,2019,54000,1.5,Diesel,Manual,15800,7
40,Toyota,Camry,2016,112000,2.5,Petrol,Automatic,19800,10
41,Hyundai,Sonata,2018,79000,2,Petrol,Automatic,17200,8
42,Kia,Optima,2017,96000,2,Petrol,Automatic,15400,9
43,Skoda,Octavia,2019,67000,1.6,Diesel,Automatic,18100,7
44,Renault,Megane,2020,41000,1.5,Diesel,Manual,15100,6
45,Ford,Mondeo,2018,88000,2,Diesel,Automatic,16600,8
46,Toyota,Auris,2017,89000,1.6,Petrol,Manual,13400,9
47,Honda,Civic,2020,33000,1.5,Petrol,Automatic,20500,6
48,BMW,320i,2016,102000,2,Petrol,Automatic,20500,10
49,Volkswagen,Passat,2019,65000,2,Diesel,Automatic,21300,7
50,Skoda,Superb,2019,61000,2,Diesel,Automatic,21900,7
51,Toyota,RAV4,2020,45000,2,Petrol,Automatic,24900,6
52,Kia,Sportage,2019,58000,2,Diesel,Automatic,20700,7
53,Hyundai,Tucson,2018,76000,2,Diesel,Automatic,19600,8
54,Ford,Kuga,2019,62000,1.5,Diesel,Manual,17900,7
55,Renault,Captur,2018,69000,1.3,Petrol,Manual,14500,8
56,Audi,A4,2018,82000,2,Diesel,Automatic,23100,8
57,Mercedes,C180,2017,97000,1.6,Petrol,Automatic,22400,9
58,BMW,118i,2019,47000,1.5,Petrol,Automatic,21100,7
59,Toyota,Yaris,2019,65000,1.5,Petrol,Automatic,14600,7
60,Skoda,Fabia,2020,29000,1.6,Petrol,Manual,12800,6
